Epoch,Train_Loss,Val_Loss,IoU
1,0.998907203,0.999692633,0.000154034
2,0.99413633,0.956220038,0.031037564
3,0.950984837,0.924943276,0.054093583
4,0.908636309,0.837729087,0.140818872
5,0.899273126,0.784425245,0.19180845
6,0.89197713,0.804243301,0.172857938
7,0.886961438,0.650718224,0.324764981
8,0.885844371,0.65498807,0.3194626
9,0.882437267,0.820788029,0.152083628
10,0.880858563,0.625452225,0.347765505
11,0.879195514,0.806853857,0.166360789
12,0.881129522,0.671996351,0.30111221
13,0.879806046,0.496692401,0.478733961
14,0.879176633,0.557689602,0.416376063
15,0.876400912,0.511987154,0.461283945
16,0.874394746,0.386198122,0.587576111
17,0.8752438984868436,0.7613549141087733,0.21405765951917774
18,0.8747324192033169,0.7196920876148236,0.25325798876946687
19,0.8721162372354321,0.6235157038172017,0.35183308176878914
20,0.8712984914133906,0.6364184608835879,0.33926723230949546
21,0.8729296322277839,0.6027394172781378,0.3698515297455952
22,0.8688644682783078,0.5223666496556663,0.45110355371896727
23,0.8705684666266852,0.669835426988112,0.3043987731954186
24,0.8698944147710068,0.5215435733213901,0.4537490094569833
25,0.8692427695437368,0.4811179630205925,0.4951701357181485
26,0.8664197295471733,0.6561867553289229,0.3177640364788399
27,0.8666660782018754,0.5887457962599077,0.38450679983175595
28,0.8652639678026042,0.667084040568502,0.3053754344216396
29,0.8664440506961782,0.43074310092379736,0.5426807684481628
